"","Scientific_Name","Duration","Active_Growth_Period","Foliage_Color","pH_Min","pH_Max","Precip_Min","Precip_Max","Shade_Tolerance","Temp_Min_F"
"2760","Lonicera xylosteum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2761","Lotus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2762","Lotus corniculatus","Perennial","Spring and Summer","Green",5,8,16,65,"Intolerant",-43
"2763","Lotus corniculatus var. corniculatus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2764","Lotus glaber","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2765","Ludwigia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2766","Ludwigia alternifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2767","Ludwigia brevipes","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2768","Ludwigia decurrens","Annual, Perennial","Summer","Green",4,6,28,55,"Tolerant",7
"2769","Ludwigia glandulosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2770","Ludwigia glandulosa ssp. glandulosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2771","Ludwigia hirtella","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2772","Ludwigia leptocarpa","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2773","Ludwigia linearis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2774","Ludwigia palustris","Perennial","Summer","Gray-Green",5,8.5,25,60,"Intolerant",-34
"2775","Ludwigia peploides","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2776","Ludwigia peploides ssp. glabrescens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2777","Ludwigia sphaerocarpa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2778","Lunaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2779","Lunaria annua","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"2780","Lunaria rediviva","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2781","Lupinus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2782","Lupinus perennis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2783","Lupinus perennis ssp. perennis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2784","Lupinus perennis ssp. perennis var. occidentalis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2785","Lupinus perennis ssp. perennis var. perennis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2786","Lupinus polyphyllus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2787","Lupinus polyphyllus ssp. polyphyllus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2788","Lupinus polyphyllus ssp. polyphyllus var. polyphyllus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2789","Luzula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2790","Luzula acuminata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2791","Luzula acuminata ssp. acuminata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2792","Luzula acuminata ssp. carolinae","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2793","Luzula bulbosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2794","Luzula echinata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2795","Luzula multiflora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2796","Luzula multiflora ssp. multiflora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2797","Luzula multiflora ssp. multiflora var. multiflora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2798","Lychnis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2799","Lychnis coronaria","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2800","Lychnis flos-cuculi","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2801","Lycium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2802","Lycium barbarum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2803","Lycium chinense","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2804","Lycopodiella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2805","Lycopodiella alopecuroides","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2806","Lycopodiella appressa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2807","Lycopodiella caroliniana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2808","Lycopodiella caroliniana var. caroliniana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2809","Lycopodiella ×copelandii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2810","Lycopodiella inundata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2811","Lycopodium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2812","Lycopodium annotinum","Perennial","Spring, Summer, Fall","Green",4,5.3,32,60,"Tolerant",-43
"2813","Lycopodium clavatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2814","Lycopodium dendroideum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2815","Lycopodium digitatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2816","Lycopodium hickeyi","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2817","Lycopodium obscurum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2818","Lycopodium tristachyum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2819","Lycopus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2820","Lycopus americanus","Perennial","Summer and Fall","Green",5.2,7.8,12,60,"Tolerant",-38
"2821","Lycopus amplectens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2822","Lycopus europaeus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2823","Lycopus rubellus","Perennial","Summer and Fall","Green",5.2,7.2,30,60,"Tolerant",-23
"2824","Lycopus ×sherardii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2825","Lycopus uniflorus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2826","Lycopus uniflorus var. uniflorus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2827","Lycopus virginicus","Perennial","Spring and Summer","Dark Green",5,6.3,35,80,"Tolerant",-33
"2828","Lygodium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2829","Lygodium palmatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2830","Lyonia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2831","Lyonia ligustrina","Perennial",NA,"Green",5,6.5,39,80,"Tolerant",-21
"2832","Lyonia ligustrina var. ligustrina","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2833","Lyonia mariana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2834","Lysimachia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2835","Lysimachia ciliata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2836","Lysimachia hybrida","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2837","Lysimachia japonica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2838","Lysimachia lanceolata","Perennial","Spring and Summer","Green",5,7,32,55,"Tolerant",-23
"2839","Lysimachia nummularia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2840","Lysimachia ×producta","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2841","Lysimachia punctata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2842","Lysimachia quadriflora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2843","Lysimachia quadrifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2844","Lysimachia terrestris","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2845","Lysimachia thyrsiflora","Perennial","Spring and Summer","Green",4.8,7.2,16,55,"Intermediate",-33
"2846","Lysimachia vulgaris","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2847","Lythrum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2848","Lythrum alatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2849","Lythrum alatum var. alatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2850","Lythrum lineare","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2851","Lythrum salicaria","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2852","Macleaya",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2853","Macleaya cordata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2854","Maclura",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2855","Maclura pomifera","Perennial","Spring and Summer","Green",4.5,7.5,24,40,"Intolerant",-23
"2856","Madia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2857","Madia sativa","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2858","Magnolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2859","Magnolia acuminata","Perennial","Spring and Summer","Green",5.2,7,35,60,"Intermediate",-16
"2860","Magnolia grandiflora","Perennial","Spring and Summer","Green",4.5,6.5,35,60,"Tolerant",7
"2861","Magnolia macrophylla","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2862","Magnolia tripetala","Perennial","Spring","Green",5,7.5,40,60,"Tolerant",-3
"2863","Magnolia virginiana","Perennial","Spring and Summer","Dark Green",5,6.9,40,80,"Intermediate",17
"2864","Mahonia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2865","Mahonia bealei","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2866","Maianthemum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2867","Maianthemum canadense","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2868","Maianthemum racemosum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2869","Maianthemum racemosum ssp. racemosum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2870","Maianthemum stellatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2871","Malaxis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2872","Malaxis unifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2873","Malus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2874","Malus angustifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2875","Malus angustifolia var. angustifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2876","Malus coronaria","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2877","Malus ×platycarpa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2878","Malus pumila","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2879","Malus toringo","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2880","Malva",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2881","Malva moschata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2882","Malva neglecta","Annual, Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2883","Malva parviflora","Annual, Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2884","Malva pusilla","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"2885","Malva sylvestris","Annual, Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2886","Malva verticillata","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2887","Manfreda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2888","Manfreda virginica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2889","Marrubium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2890","Marrubium vulgare","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2891","Marshallia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2892","Marshallia grandiflora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2893","Marsilea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2894","Marsilea quadrifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2895","Matelea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2896","Matelea carolinensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2897","Matelea decipiens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2898","Matelea gonocarpos","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2899","Matelea obliqua","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2900","Matricaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2901","Matricaria discoidea","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2902","Matricaria recutita","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2903","Matteuccia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2904","Matteuccia struthiopteris","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2905","Maurandella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2906","Maurandella antirrhiniflora","Perennial","Spring","Green",6.8,9,8,18,"Intolerant",-8
"2907","Mazus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2908","Mazus pumilus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2909","Mecardonia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2910","Mecardonia acuminata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2911","Mecardonia acuminata var. acuminata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2912","Medeola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2913","Medeola virginiana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2914","Medicago",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2915","Medicago heldreichii","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2916","Medicago lupulina","Annual, Perennial","Fall, Winter and Spring","Dark Green",5.5,8,13,60,"Intolerant",23
"2917","Medicago minima","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2918","Medicago monspeliaca","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2919","Medicago orbicularis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2920","Medicago sativa","Annual, Perennial","Spring, Summer, Fall","Green",6,8.5,12,65,"Intolerant",-43
"2921","Medicago sativa ssp. falcata","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2922","Medicago sativa ssp. sativa","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2923","Medicago scutellata","Annual","Fall, Winter and Spring","Dark Green",5.9,7.5,18,50,"Intolerant",32
"2924","Melampodium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2925","Melampodium sericeum","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2926","Melampyrum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2927","Melampyrum lineare","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2928","Melampyrum lineare var. latifolium","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2929","Melampyrum lineare var. lineare","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2930","Melampyrum lineare var. pectinatum","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2931","Melica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2932","Melica mutica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2933","Melica nitens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2934","Melilotus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2935","Melilotus officinalis","Annual, Biennial, Perennial","Spring and Summer","Green",6.5,8.2,17,65,"Intolerant",-38
"2936","Melinis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2937","Melinis repens","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2938","Melissa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2939","Melissa officinalis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2940","Melochia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2941","Melochia corchorifolia","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2942","Melothria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2943","Melothria pendula","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2944","Melothria pendula var. pendula","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2945","Menispermum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2946","Menispermum canadense","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2947","Mentha",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2948","Mentha aquatica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2949","Mentha arvensis","Perennial","Spring","Green",5,7,20,50,"Intermediate",-33
"2950","Mentha ×gracilis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2951","Mentha ×piperita","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2952","Mentha pulegium","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2953","Mentha ×rotundifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2954","Mentha spicata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2955","Menyanthes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2956","Menyanthes trifoliata","Perennial","Spring and Summer","Green",4.8,6.5,12,55,"Intermediate",-33
"2957","Menziesia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2958","Menziesia pilosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2959","Mercurialis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2960","Mercurialis annua","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2961","Mertensia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2962","Mertensia virginica","Perennial","Spring","Green",4.5,8,26,54,"Tolerant",-28
"2963","Micranthemum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2964","Micranthemum micranthemoides","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2965","Microstegium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2966","Microstegium vimineum","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2967","Microthlaspi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2968","Microthlaspi perfoliatum","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"2969","Mikania",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2970","Mikania scandens","Perennial","Summer","Green",5.7,8.7,30,60,"Tolerant",-38
"2971","Milium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2972","Milium effusum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2973","Milium effusum var. cisatlanticum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2974","Mimosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2975","Mimosa pudica","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2976","Mimosa pudica var. pudica","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2977","Mimulus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2978","Mimulus alatus","Perennial","Spring","Green",6.2,7.8,24,60,"Tolerant",-23
"2979","Mimulus ringens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2980","Mimulus ringens var. ringens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2981","Minuartia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2982","Minuartia caroliniana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2983","Minuartia glabra","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2984","Minuartia michauxii","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2985","Minuartia michauxii var. michauxii","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2986","Mirabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2987","Mirabilis jalapa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2988","Mirabilis nyctaginea","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2989","Miscanthus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2990","Miscanthus sinensis","Perennial","Spring and Summer","Green",4.6,7.5,24,55,"Intolerant",-18
"2991","Mitchella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2992","Mitchella repens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2993","Mitella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2994","Mitella diphylla","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2995","Modiola",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2996","Modiola caroliniana","Annual, Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2997","Moehringia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2998","Moehringia lateriflora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"2999","Moenchia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3000","Moenchia erecta","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"3001","Mollugo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3002","Mollugo gracillima","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3003","Mollugo nudicaulis","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3004","Mollugo verticillata","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"3005","Monarda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3006","Monarda clinopodia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3007","Monarda didyma","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3008","Monarda fistulosa","Perennial","Spring","Gray-Green",6,8,20,60,"Intermediate",-32
"3009","Monarda fistulosa ssp. fistulosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3010","Monarda fistulosa ssp. fistulosa var. fistulosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3011","Monarda fistulosa ssp. fistulosa var. mollis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3012","Monarda media","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3013","Monarda punctata","Annual, Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3014","Monarda punctata ssp. punctata","Annual, Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3015","Monarda punctata ssp. punctata var. punctata","Annual, Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3016","Monotropa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3017","Monotropa hypopithys","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3018","Monotropa uniflora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3019","Monotropsis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3020","Monotropsis odorata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3021","Montia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3022","Montia linearis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"3023","Morella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3024","Morella caroliniensis","Perennial","Spring","Dark Green",4.5,7,44,60,"Tolerant",-13
"3025","Morella cerifera","Perennial","Spring and Summer","Green",5.4,9.1,34,60,"Intolerant",-3
"3026","Morella pensylvanica","Perennial","Spring","Green",5.5,7.8,32,65,"Intolerant",-28
"3027","Morus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3028","Morus alba","Perennial","Spring and Summer","Green",5,7,30,60,"Intermediate",-18
"3029","Morus rubra","Perennial","Spring and Summer","Green",5,7,35,60,"Tolerant",-33
"3030","Morus rubra var. rubra","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3031","Muhlenbergia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3032","Muhlenbergia asperifolia","Perennial","Spring, Summer, Fall","Yellow-Green",6,8.4,12,40,"Tolerant",-18
"3033","Muhlenbergia bushii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3034","Muhlenbergia capillaris","Perennial","Spring and Summer","Yellow-Green",5.8,6.8,30,90,"Intolerant",7
"3035","Muhlenbergia frondosa","Perennial","Spring, Summer, Fall","Green",5.9,7.9,36,50,"Tolerant",-38
"3036","Muhlenbergia glabriflora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3037","Muhlenbergia glomerata","Perennial","Spring, Summer, Fall","Green",5.3,7.5,30,50,"Intermediate",-33
"3038","Muhlenbergia mexicana","Perennial","Spring, Summer, Fall","Green",5.5,7.5,20,50,"Intermediate",-33
"3039","Muhlenbergia schreberi","Perennial","Spring","Green",4.5,7.5,26,55,"Tolerant",-33
"3040","Muhlenbergia sobolifera","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3041","Muhlenbergia sylvatica","Perennial","Spring, Summer, Fall","Green",5.9,7.5,28,45,"Intermediate",-28
"3042","Muhlenbergia tenuiflora","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3043","Muhlenbergia torreyana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3044","Muhlenbergia uniflora","Perennial","Spring and Summer","Green",4.8,6.8,35,60,"Intolerant",-33
"3045","Murdannia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3046","Murdannia keisak","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3047","Muscari",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3048","Muscari botryoides","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3049","Muscari neglectum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3050","Myosotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3051","Myosotis arvensis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"3052","Myosotis discolor","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3053","Myosotis laxa","Annual, Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3054","Myosotis macrosperma","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"3055","Myosotis scorpioides","Perennial","Spring and Summer","Green",5.5,7.5,24,55,"Intermediate",-33
"3056","Myosotis stricta","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"3057","Myosotis verna","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"3058","Myosoton",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3059","Myosoton aquaticum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3060","Myriophyllum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3061","Myriophyllum aquaticum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3062","Myriophyllum heterophyllum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3063","Myriophyllum humile","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3064","Myriophyllum sibiricum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3065","Myriophyllum spicatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3066","Myriophyllum tenellum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3067","Myriophyllum verticillatum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"3068","Najas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3069","Najas flexilis","Annual","Spring, Summer, Fall","Green",6.5,7.5,NA,NA,"Intermediate",47
"3070","Najas gracillima","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"3071","Najas guadalupensis","Annual","Summer","Gray-Green",5.2,9.6,NA,NA,"Intolerant",-36
"3072","Najas guadalupensis ssp. guadalupensis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"3073","Nama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3074","Nama hispidum","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"3075","Narcissus",NA,NA,NA,NA,NA,NA,NA,NA,NA
